,steps,self_finding_steps,prop_selected_correctly,participant,level
215,53,6.0,0.5,4,3
216,99,3.0,1.0,4,4
217,607,5.0,1.0,4,5
218,70,,,4,6
219,21,,0.0,4,7
220,179,,,4,8
221,39,,,4,9
222,193,0.0,1.0,4,10
223,389,,,4,11
224,19,,,4,12
225,207,,,4,13
226,48,,0.0,4,14
227,14,3.0,0.5,4,15
228,424,,0.0,4,16
229,77,,0.0,4,17
230,55,,,4,18
231,29,0.0,1.0,4,19
232,638,,0.0,4,20
233,2528,,,4,21
234,115,,,4,22
235,2197,,,4,23
236,11678,,0.0,4,24
237,25,,,4,25
238,895,2.0,0.2,4,26
239,69,,0.0,4,27
240,249,,0.0,4,28
241,153,,0.0,4,29
242,26,,,4,30
243,31,,,4,31
244,9,0.0,1.0,4,32
245,211,,,4,33
246,362,1.0,0.2,4,34
247,213,,,4,35
248,220,,,4,36
249,109,4.0,0.6666666666666666,4,37
250,354,,,4,38
251,227,,0.0,4,39
252,487,,,4,40
253,25,,,4,41
254,486,0.0,1.0,4,42
255,1140,,,4,43
256,85,,,4,44
257,115,,,4,45
258,127,,,4,46
259,77,,,4,47
260,801,,0.0,4,48
261,886,,,4,49
262,183,,,4,50
263,151,,,4,51
264,1362,,,4,52
265,192,,,5,0
266,240,,,5,1
267,54,,,5,2
268,51,,,5,3
269,11,,,5,4
270,60,,,5,5
271,11,,,5,6
272,25,,,5,7
273,11,,,5,8
274,29,,,5,9
275,56,,,5,10
276,122,,,5,11
277,107,,,5,12
278,37,,,5,13
279,11,,,5,14
280,23,,,5,15
281,454,,,5,16
282,142,,,5,17
283,13,,,5,18
284,536,,,5,19
285,665,,,5,20
286,23,,,5,21
287,17,,,5,22
288,11,,,5,23
289,78,,,5,24
290,19,,,5,25
291,148,,,5,26
292,13,,,5,27
293,13,,,5,28
294,15,,,5,29
295,22,,,5,30
296,15,,,5,31
297,11,,,5,32
298,65,,,5,33
299,344,,,5,34
300,64,,,5,35
301,37,,,5,36
302,10,,,5,37
303,59,,,5,38
304,9,,,5,39
305,13,,,5,40
306,34,,,5,41
307,21,,,5,42
308,186,,,5,43
309,18,,,5,44
310,30,,,5,45
311,19,,,5,46
312,9,,,5,47
313,83,,,5,48
314,74,,,5,49
315,33,,,5,50
316,9,,,5,51
317,48,,,5,52
318,196,1.6666666666666667,0.6,6,0
319,466,4.0,0.2857142857142857,6,1
320,130,,,6,2
321,383,1.6666666666666667,0.375,6,3
322,111,2.0,1.0,6,4
323,860,1.0,0.5,6,5
324,618,1.5,0.2857142857142857,6,6
325,754,,,6,7
326,202,4.0,0.3333333333333333,6,8
327,91,3.0,1.0,6,9
328,226,4.0,1.0,6,10
329,41,,0.0,6,11
330,156,,0.0,6,12
331,227,,0.0,6,13
332,31,,0.0,6,14
333,577,3.0,0.3,6,15
334,309,,0.0,6,16
335,61,,0.0,6,17
336,32,4.0,0.3333333333333333,6,18
337,45,0.0,0.5,6,19
338,25,,0.0,6,20
339,55,,0.0,6,21
340,83,,0.0,6,22
341,225,,0.0,6,23
342,17,2.0,1.0,6,24
343,33,1.0,0.5,6,25
344,60,1.0,0.5,6,26
345,29,,0.0,6,27
346,25,1.5,1.0,6,28
347,89,,0.0,6,29
348,25,,0.0,6,30
349,33,,0.0,6,31
350,31,,0.0,6,32
351,232,5.0,0.125,6,33
352,46,,0.0,6,34
353,296,6.0,0.07692307692307693,6,35
354,463,6.0,0.13333333333333333,6,36
355,145,6.0,0.25,6,37
356,82,,0.0,6,38
357,123,,0.0,6,39
358,11,,0.0,6,40
359,19,,0.0,6,41
360,61,0.0,0.3333333333333333,6,42
361,55,,0.0,6,43
362,207,5.0,0.1111111111111111,6,44
363,1096,2.6666666666666665,0.17647058823529413,6,45
364,267,,0.0,6,46
365,57,,0.0,6,47
366,150,2.0,0.1111111111111111,6,48
367,152,4.0,0.15384615384615385,6,49
368,47,,0.0,6,50
369,204,6.0,0.07692307692307693,6,51
370,38,,0.0,6,52
371,496,3.5,0.25,7,0
372,355,2.8958333333333335,0.5714285714285714,7,1
373,461,,,7,2
374,235,,0.0,7,3
375,592,,,7,4
376,428,5.0,0.5,7,5
377,610,,,7,6
378,590,,,7,7
379,239,,,7,8
380,764,6.0,1.0,7,9
381,122,,,7,10
382,383,5.0,0.3333333333333333,7,11
383,97,,,7,12
384,241,,0.0,7,13
385,69,,,7,14
386,240,3.0,1.0,7,15
387,551,4.0,1.0,7,16
388,53,,,7,17
389,198,,0.0,7,18
390,456,5.0,0.3333333333333333,7,19
391,876,1.0,1.0,7,20
392,281,,0.0,7,21
393,236,,0.0,7,22
394,213,6.0,0.5,7,23
395,174,,,7,24
396,1085,5.0,0.5,7,25
397,172,,,7,26
398,1142,0.0,0.5,7,27
399,178,,,7,28
400,1421,,,7,29
401,170,,,7,30
402,115,,,7,31
403,641,,,7,32
404,589,,,7,33
405,138,,,7,34
406,1985,5.0,0.5,7,35
407,370,,,7,36
408,538,,,7,37
409,15,,,7,38
410,1215,,,7,39
411,288,,,7,40
412,1390,,,7,41
413,150,,,7,42
414,2790,,,7,43
415,2488,,,7,44
416,1763,,0.0,7,45
417,716,,,7,46
418,1111,,,7,47
419,1535,,,7,48
420,1077,,,7,49
421,1155,,,7,50
422,1287,,,7,51
423,403,,,7,52
424,49,,,8,0
425,37,,,8,1
426,166,,,8,2
427,149,,,8,3
428,47,,,8,4
429,104,,,8,5
430,81,,,8,6
431,128,,,8,7
432,17,,,8,8
433,58,,,8,9
434,17,,,8,10
435,21,,,8,11
436,94,,,8,12
437,95,,,8,13
438,225,,,8,14
439,88,,,8,15
440,75,,,8,16
441,29,,,8,17
442,194,,,8,18
443,9,,,8,19
444,39,,,8,20
445,67,,,8,21
446,58,,,8,22
447,118,,,8,23
448,30,,,8,24
449,29,,,8,25
450,37,,,8,26
451,75,,,8,27
452,35,,,8,28
453,89,,,8,29
454,19,,,8,30
455,17,,,8,31
456,35,,,8,32
457,65,,,8,33
458,136,,,8,34
459,95,,,8,35
460,438,,,8,36
461,197,,,8,37
462,453,,,8,38
463,414,,,8,39
464,290,,,8,40
465,248,,,8,41
466,72,,,8,42
467,402,,,8,43
468,235,,,8,44
469,226,,,8,45
470,27,,,8,46
471,102,,,8,47
472,2376,,,8,48
473,566,,,8,49
474,94,,,8,50
475,23,,,8,51
476,45,,,8,52
477,377,3.550724637681159,0.8734177215189873,9,0
478,41,2.75,0.5,9,1
479,19,2.3333333333333335,0.75,9,2
480,95,3.8,0.7142857142857143,9,3
481,17,1.0,0.3333333333333333,9,4
482,19,2.6666666666666665,0.75,9,5
483,13,1.5,1.0,9,6
484,32,1.6,0.7142857142857143,9,7
485,13,2.5,1.0,9,8
486,24,2.25,1.0,9,9
487,27,3.6666666666666665,0.75,9,10
488,61,4.142857142857143,0.7777777777777778,9,11
489,33,2.4,0.8333333333333334,9,12
490,26,3.6666666666666665,1.0,9,13
491,25,3.75,1.0,9,14
492,38,3.5,1.0,9,15
493,47,3.1666666666666665,0.6666666666666666,9,16
494,19,3.3333333333333335,1.0,9,17
495,19,2.6666666666666665,1.0,9,18
496,11,3.0,1.0,9,19
497,27,4.0,1.0,9,20
498,71,3.857142857142857,0.875,9,21
499,13,2.0,1.0,9,22
500,118,3.769230769230769,0.8666666666666667,9,23
501,25,2.3333333333333335,0.6,9,24
502,39,4.0,1.0,9,25
503,15,3.0,1.0,9,26
504,23,2.6666666666666665,1.0,9,27
505,27,3.6666666666666665,1.0,9,28
506,73,3.1666666666666665,0.75,9,29
507,13,2.0,1.0,9,30
508,11,2.0,1.0,9,31
509,26,2.6666666666666665,0.75,9,32
510,82,3.75,1.0,9,33
511,13,5.0,1.0,9,34
512,55,4.0,0.4444444444444444,9,35
513,41,4.2,0.625,9,36
514,96,2.375,0.6666666666666666,9,37
515,44,3.0,0.5,9,38
516,55,3.8,0.5555555555555556,9,39
517,21,5.5,0.5,9,40
518,11,3.0,0.5,9,41
519,27,1.6666666666666667,0.75,9,42
520,166,3.357142857142857,0.6086956521739131,9,43
521,89,2.4,0.7142857142857143,9,44
522,67,1.8333333333333333,0.8571428571428571,9,45
523,13,4.0,0.5,9,46
524,26,5.0,0.5,9,47
525,55,2.3333333333333335,0.6,9,48
526,296,3.789473684210526,0.9047619047619048,9,49
527,117,3.5,0.7692307692307693,9,50
528,55,4.833333333333333,0.8571428571428571,9,51
529,19,1.5,0.5,9,52
530,29,,,10,0
531,39,,,10,1
532,164,,,10,2
533,33,,,10,3
534,211,,,10,4
535,55,,,10,5
536,39,,,10,6
537,158,,,10,7
538,56,,,10,8
539,61,,,10,9
540,71,,,10,10
541,102,,,10,11
542,65,,,10,12
543,67,,,10,13
544,51,,,10,14
