,steps,self_finding_steps,prop_selected_correctly,participant,level
702,28,7.0,0.0,13,13
703,89,7.0,0.0,13,14
704,42,7.0,0.0,13,15
705,42,7.0,0.0,13,16
706,14,7.0,0.0,13,17
707,66,4.0,1.0,13,18
708,44,2.0,1.0,13,19
709,114,7.0,0.0,13,20
710,42,7.0,0.0,13,21
711,14,2.0,1.0,13,22
712,62,7.0,0.0,13,23
713,226,5.0,0.5,13,24
714,12,3.0,1.0,13,25
715,38,7.0,0.0,13,26
716,28,6.0,0.5,13,27
717,20,6.0,0.5,13,28
718,23,1.0,1.0,13,29
719,80,7.0,0.0,13,30
720,38,7.0,0.0,13,31
721,48,6.666666666666667,0.3333333333333333,13,32
722,53,7.0,0.0,13,33
723,223,7.0,0.0,13,34
724,480,7.0,0.0,13,35
725,42,5.0,0.5,13,36
726,101,7.0,0.0,13,37
727,25,6.0,1.0,13,38
728,18,7.0,0.0,13,39
729,34,7.0,0.0,13,40
730,18,4.0,0.5,13,41
731,69,7.0,0.0,13,42
732,27,7.0,0.0,13,43
733,34,7.0,0.0,13,44
734,46,0.0,1.0,13,45
735,34,7.0,0.0,13,46
736,106,7.0,0.0,13,47
737,321,7.0,0.0,13,48
738,49,7.0,0.0,13,49
739,265,5.8,0.2,13,50
740,23,7.0,0.0,13,51
741,33,3.0,1.0,13,52
742,238,5.3478260869565215,0.6428571428571429,14,0
743,111,5.0,0.5,14,1
744,60,6.5,0.5,14,2
745,79,6.75,0.25,14,3
746,97,6.666666666666667,0.14285714285714285,14,4
747,18,7.0,0.3333333333333333,14,5
748,26,2.3333333333333335,1.0,14,6
749,42,4.0,0.6,14,7
750,42,6.5,0.5,14,8
751,151,6.833333333333333,0.25,14,9
752,94,7.0,0.0,14,10
753,26,7.0,0.0,14,11
754,41,6.0,0.3333333333333333,14,12
755,41,4.666666666666667,0.3333333333333333,14,13
756,12,,,14,14
757,34,4.0,0.6666666666666666,14,15
758,86,7.0,0.2,14,16
759,84,3.0,1.0,14,17
760,56,4.5,0.6666666666666666,14,18
761,54,3.6666666666666665,0.6666666666666666,14,19
762,16,1.0,1.0,14,20
763,12,4.0,1.0,14,21
764,18,7.0,0.5,14,22
765,189,4.333333333333333,0.6666666666666666,14,23
766,8,7.0,0.0,14,24
767,125,6.714285714285714,0.2222222222222222,14,25
768,67,2.0,1.0,14,26
769,28,6.5,0.5,14,27
770,97,6.142857142857143,0.2222222222222222,14,28
771,76,6.285714285714286,0.2857142857142857,14,29
772,18,3.0,1.0,14,30
773,54,6.5,0.6666666666666666,14,31
774,18,,,14,32
775,60,6.166666666666667,0.3333333333333333,14,33
776,34,6.25,0.2,14,34
777,23,7.0,0.25,14,35
778,62,7.0,0.0,14,36
779,104,7.0,0.0,14,37
780,34,6.5,0.25,14,38
781,20,6.0,0.5,14,39
782,20,5.0,0.5,14,40
783,14,6.0,0.5,14,41
784,32,4.5,0.5,14,42
785,195,6.222222222222222,0.1,14,43
786,41,5.5,0.5,14,44
787,24,4.5,0.5,14,45
788,18,7.0,0.0,14,46
789,74,7.0,0.0,14,47
790,28,7.0,0.0,14,48
791,250,7.0,0.0,14,49
792,67,7.0,0.0,14,50
793,55,7.0,0.0,14,51
794,128,7.0,0.0,14,52
795,30,2.5,0.6666666666666666,15,0
796,26,3.0,1.0,15,1
797,59,3.111111111111111,0.6666666666666666,15,2
798,18,4.0,0.3333333333333333,15,3
799,59,3.625,0.5454545454545454,15,4
800,24,2.0,0.6666666666666666,15,5
801,117,5.636363636363637,0.42857142857142855,15,6
802,56,4.125,0.5333333333333333,15,7
803,34,5.0,0.3333333333333333,15,8
804,16,7.0,0.0,15,9
805,12,4.0,0.3333333333333333,15,10
806,24,5.5,0.2,15,11
807,38,5.4,0.2857142857142857,15,12
808,26,5.333333333333333,0.3333333333333333,15,13
809,88,6.2,0.3333333333333333,15,14
810,16,7.0,0.0,15,15
811,52,7.0,0.0,15,16
812,32,7.0,0.0,15,17
813,87,4.75,0.75,15,18
814,60,5.5,0.2,15,19
815,44,5.4,0.6,15,20
816,14,3.0,1.0,15,21
817,20,5.666666666666667,0.25,15,22
818,26,4.333333333333333,0.4,15,23
819,27,5.0,0.2,15,24
820,35,3.5,1.0,15,25
821,54,3.625,0.7272727272727273,15,26
822,26,1.75,1.0,15,27
823,42,6.0,0.14285714285714285,15,28
824,28,,,15,29
825,14,1.5,1.0,15,30
826,8,7.0,0.0,15,31
827,58,2.5714285714285716,0.75,15,32
