,level,keep_close_control_prop
0,0,0.219850712656974
1,1,0.2777259346773196
2,2,0.22666366074180927
3,3,0.1892935442517265
4,4,0.25652331951674057
5,5,0.26963916332014887
6,6,0.2069957518031367
7,7,0.27618702297745745
8,8,0.22249625731942613
9,9,0.24840369766911105
10,10,0.2676321813612174
11,11,0.24593967886226487
12,12,0.2065430061204668
13,13,0.22810842475843277
14,14,0.23833232410800323
15,15,0.2756531954887218
16,16,0.23608936317704857
17,17,0.22396025599372454
18,18,0.21158089864357654
19,19,0.25769474348004434
20,20,0.2501358432168854
21,21,0.25183099886224886
22,22,0.23970568783068782
23,23,0.22703019503925945
24,24,0.2458157797348371
25,25,0.22797822541939491
26,26,0.2610076845192692
27,27,0.21593735009002277
28,28,0.23698860769003957
29,29,0.21085718941666626
30,30,0.252719241542771
31,31,0.22169563988642935
32,32,0.25957600528659375
33,33,0.2579944586530264
34,34,0.027025241567087827
35,35,0.04579484264197126
36,36,0.0330870656441773
37,37,0.027444867332186117
38,38,0.04217373095724958
39,39,0.0361869537203943
40,40,0.03183756955354718
41,41,0.023822591599927407
42,42,0.029577736966360173
43,43,0.030792945760154223
44,44,0.02694322632088273
45,45,0.022672134775853708
46,46,0.03143163616759977
47,47,0.040983389463955744
48,48,0.03256645607826636
49,49,0.02966038125544997
50,50,0.023010821934378332
51,51,0.03316670093168429
52,52,0.02449321148028662
53,53,0.03066204794202863
